"","edge","V1","V2","edge_mean","edge_low95","edge_high95","edge_prop","int_mean","int_low95","int_high95","int_prop"
"1","IB_S_Neg - IB_N_Neg",4,5,0.462252835704706,0.399513141614882,0.527859411682125,1,-0.00569547630614734,-0.0526703072375943,0.0263277840500026,0.35
"2","IB_S_Pos - IB_N_Pos",2,3,0.312461111015353,0.239134686337773,0.384453277845547,1,0.0211824151525819,0,0.0882868808506705,0.518
"3","IB_S_Neg - MB_Neg",4,7,0.247840807400693,0.172033177552882,0.319517198875859,1,-0.0625833010769619,-0.142847808170721,0,0.908
"4","MH - MB_Pos",1,6,0.224655748780014,0.147213904912193,0.300716362204166,1,0,0,0,0
"5","IB_S_Pos - IB_N_Neg",2,5,0.189214937760303,0.120004416512943,0.258021744799075,0.998,-0.00521085858180149,-0.0422902011880204,0.0216341840325523,0.265
"6","MH - IB_S_Pos",1,2,0.152883591036745,0.0805191917576538,0.226509194497249,0.993,0,0,0,0
"7","MH - IB_N_Pos",1,3,0.142096844183273,0.0640830894170263,0.22183788630236,0.993,0,0,0,0
"8","IB_S_Pos - MB_Pos",2,6,0.126976757451602,0.0335880149300874,0.204048192857023,0.976,-0.0518575205781105,-0.121272710965213,0,0.835
"9","IB_N_Pos - IB_S_Neg",3,4,0.0444879876488749,0,0.138108712798489,0.551,-0.0423237722016262,-0.127761389998028,0,0.641
"10","IB_N_Neg - MB_Neg",5,7,0.0225207265464226,0,0.106075704293081,0.381,0.0449116106650249,0,0.138293432732973,0.65
"11","IB_N_Pos - MB_Pos",3,6,0.00903511135674443,-0.0299365257516886,0.0751657708609506,0.296,-0.000825827075408288,-0.0433448973870432,0.0446620531161695,0.329
"12","MH - IB_S_Neg",1,4,-0.00471201056271987,-0.0628971242899692,0,0.16,0,0,0,0
"13","MH - IB_N_Neg",1,5,-0.0072670988341036,-0.073894598517965,0,0.188,0,0,0,0
"14","IB_S_Pos - MB_Neg",2,7,-0.0232513045625759,-0.101437450428979,0,0.416,0.0275335730019928,-0.0172693112248451,0.0914868084848101,0.666
"15","IB_N_Neg - MB_Pos",5,6,-0.0361886361550012,-0.12466878722973,0,0.574,0.0113287616989702,-0.0226038676310619,0.0780096511986165,0.368
"16","IB_S_Neg - MB_Pos",4,6,-0.0389599719744244,-0.11825005331735,0,0.615,-0.0206711806371654,-0.106263664030463,0,0.415
"17","MB_Pos - MB_Neg",6,7,-0.0424253617716118,-0.119448717660514,0,0.601,0.0446850396821685,0,0.117220277591462,0.817
"18","IB_N_Pos - MB_Neg",3,7,-0.065220034091801,-0.142277033444546,0,0.771,0.0512848208406658,0,0.135935851465435,0.756
"19","IB_N_Pos - IB_N_Neg",3,5,-0.154157238298057,-0.231384422924815,-0.0781150095423413,0.996,0.0327995727295427,0,0.115012396021049,0.602
"20","IB_S_Pos - IB_S_Neg",2,4,-0.181084810384357,-0.257762866023846,-0.104671823397965,0.998,0.00697085052367139,-0.0240369016841511,0.0584590054502538,0.315
"21","MH - MB_Neg",1,7,-0.225523066048497,-0.297681200574666,-0.152207342663375,1,0,0,0,0
