"","row","col","edge_mean","edge_qtl_low","edge_qtl_high","edge_proportion","int_mean","int_qtl_low","int_qtl_high","int_proportion","edge"
"16","IB_S_Neg","IB_N_Neg",0.410900427210047,0.344221345264741,0.475697043918489,1,-0.000184288664071773,-0.0135756853328135,0.0123180312044129,0.102,"IB_S_Neg-IB_N_Neg"
"7","IB_S_Pos","IB_N_Pos",0.28048757516097,0.209214390585899,0.349071039355287,1,-0.00013594398794095,-0.0192393248866923,0.0167739844293003,0.155,"IB_S_Pos-IB_N_Pos"
"18","IB_S_Neg","MB_Neg",0.224277241395815,0.153294762853307,0.29305211099834,1,0.000194916304426563,0,0,0.033,"IB_S_Neg-MB_Neg"
"5","MH","MB_Pos",0.193857466913814,0.12191146879947,0.265263253575679,1,0,0,0,0,"MH-MB_Pos"
"1","MH","IB_S_Pos",0.133543902887228,0.0615342508017307,0.211418483435014,0.984,0,0,0,0,"MH-IB_S_Pos"
"9","IB_S_Pos","IB_N_Neg",0.113797239890638,0.0230645539215523,0.196652876457657,0.958,-1.01041020957884e-05,0,0,0.019,"IB_S_Pos-IB_N_Neg"
"10","IB_S_Pos","MB_Pos",0.106495538774262,0.0189458900187931,0.179546901426923,0.966,0.000192597842710283,0,0,0.015,"IB_S_Pos-MB_Pos"
"2","MH","IB_N_Pos",0.0994350907827792,0,0.176490050801243,0.943,0,0,0,0,"MH-IB_N_Pos"
"14","IB_N_Pos","MB_Pos",0.00543555797860122,-0.0244359574612728,0.0606975882737105,0.249,-8.00392800435683e-06,0,0,0.03,"IB_N_Pos-MB_Pos"
"20","IB_N_Neg","MB_Neg",0.00413632884739445,0,0.058394424292156,0.181,0.000284798912788743,0,0,0.067,"IB_N_Neg-MB_Neg"
"4","MH","IB_N_Neg",-0.000143032137534164,-0.017969953999844,0,0.096,0,0,0,0,"MH-IB_N_Neg"
"3","MH","IB_S_Neg",-0.00356785014346751,-0.0532164921706301,0,0.14,0,0,0,0,"MH-IB_S_Neg"
"11","IB_S_Pos","MB_Neg",-0.00499704935021478,-0.0654463545731283,0.0273398344297005,0.23,6.31264889937201e-05,0,0,0.005,"IB_S_Pos-MB_Neg"
"12","IB_N_Pos","IB_S_Neg",-0.00546867190991521,-0.0608691617923036,0.0265318947161691,0.267,0.000159237663171666,0,0.000461162633280014,0.097,"IB_N_Pos-IB_S_Neg"
"19","IB_N_Neg","MB_Pos",-0.00783000463698478,-0.0698369803407223,0,0.24,-4.76238181154186e-05,0,0,0.091,"IB_N_Neg-MB_Pos"
"17","IB_S_Neg","MB_Pos",-0.0143180871955697,-0.0810413495360624,0,0.365,-1.68576094640723e-05,0,0,0.045,"IB_S_Neg-MB_Pos"
"21","MB_Pos","MB_Neg",-0.0269736073684353,-0.0976151234451972,0,0.483,-5.74039437263012e-05,-0.0135578052293487,0.000609843773416605,0.108,"MB_Pos-MB_Neg"
"15","IB_N_Pos","MB_Neg",-0.0409877155422147,-0.119622428539295,0,0.6,-8.13032330911103e-05,0,0,0.014,"IB_N_Pos-MB_Neg"
"13","IB_N_Pos","IB_N_Neg",-0.0739832631477923,-0.150921775449619,0,0.854,-2.25220256845346e-05,0,0,0.036,"IB_N_Pos-IB_N_Neg"
"8","IB_S_Pos","IB_S_Neg",-0.137785181321721,-0.212409711898632,-0.060796568209473,0.983,-0.000222486820327524,0,0,0.048,"IB_S_Pos-IB_S_Neg"
"6","MH","MB_Neg",-0.198333678565374,-0.271204878095484,-0.12405627664118,1,0,0,0,0,"MH-MB_Neg"
