"","edge","V1","V2","edge_mean","edge_low95","edge_high95","edge_prop","int_mean","int_low95","int_high95","int_prop"
"1","IB_S_Neg - IB_N_Neg",4,5,0.467226826645748,0.402297082099377,0.529887359048643,1,-0.00698379779898987,-0.0537815823688635,0.0259916649728756,0.386
"2","IB_S_Pos - IB_N_Pos",2,3,0.303328819160888,0.222737807993986,0.378892939434242,1,0.0258182938750103,0,0.0976374270578849,0.551
"3","IB_S_Neg - MB_Neg",4,7,0.25249407068919,0.17793143545505,0.327162633259276,1,-0.0631775218876307,-0.142216288491276,0,0.9
"4","MH - MB_Pos",1,6,0.233619776757752,0.157495355624607,0.309221614059426,1,0,0,0,0
"5","IB_S_Pos - IB_N_Neg",2,5,0.191888782529309,0.124005127345808,0.260342294439255,1,-0.00820524202669332,-0.0545613431734008,0.0203162727780975,0.33
"6","MH - IB_N_Pos",1,3,0.14865993260464,0.0777478528775396,0.226267414040099,0.991,0,0,0,0
"7","MH - IB_S_Pos",1,2,0.145968410439413,0.0717625125297744,0.217219567869663,0.988,0,0,0,0
"8","IB_S_Pos - MB_Pos",2,6,0.120924231730436,0.0270086493170325,0.195415719601933,0.967,-0.0510332979066315,-0.122095647116809,0,0.823
"9","IB_N_Pos - IB_S_Neg",3,4,0.0503785734312126,0,0.143866227537368,0.609,-0.0469984245776708,-0.137732074603942,0,0.656
"10","IB_N_Neg - MB_Neg",5,7,0.0202105911587637,-0.0257265499638388,0.0989456644467438,0.388,0.0445709323690696,0,0.131205760511669,0.665
"11","IB_N_Pos - MB_Pos",3,6,0.0135522189180619,-0.0220076939739099,0.0814754457492125,0.339,-0.00570710893967217,-0.068118937262437,0.0399406986736381,0.362
"12","MH - IB_S_Neg",1,4,-0.00317042581737766,-0.0585586016849995,0.00142017972800537,0.155,0,0,0,0
"13","MH - IB_N_Neg",1,5,-0.00610697069695787,-0.0705399569191439,0,0.175,0,0,0,0
"14","IB_S_Pos - MB_Neg",2,7,-0.0253781036276332,-0.102487291623918,0,0.429,0.0340224593881756,0,0.100344734861934,0.735
"15","IB_S_Neg - MB_Pos",4,6,-0.0371663462232841,-0.123814829271127,0,0.606,-0.0211375602844325,-0.108066667133721,0,0.423
"16","IB_N_Neg - MB_Pos",5,6,-0.0376378966425211,-0.119677458397582,0,0.588,0.0115208171762687,-0.0246750325406927,0.0847821478572318,0.407
"17","MB_Pos - MB_Neg",6,7,-0.0392124127843773,-0.117077088526699,0,0.576,0.0418017045348267,0,0.11325279806286,0.821
"18","IB_N_Pos - MB_Neg",3,7,-0.0617393832937124,-0.13996262832817,0,0.754,0.0488929462936498,0,0.135030765673059,0.733
"19","IB_N_Pos - IB_N_Neg",3,5,-0.157745358701099,-0.241647484190275,-0.0774232908015374,0.995,0.0345464008687062,0,0.114343610830623,0.653
"20","IB_S_Pos - IB_S_Neg",2,4,-0.187157705967628,-0.267905554002905,-0.109996236078091,0.999,0.0113852625059088,-0.0182033574906232,0.0711259268273936,0.335
"21","MH - MB_Neg",1,7,-0.22398625469472,-0.298063269261245,-0.145026123143699,1,0,0,0,0
